;Season;Date;Location;HomeTeam;HomeScore;AwayTeam;AwayScore;HomePenalty;AwayPenalty;Attendance;RegularPlayoff
1;2011-12 season:;2011.12.25;New York;New York;106;Boston;104;25;28;19763;Regular
2;2011-12 season:;2011.12.25;Golden State;Golden State;86;LA Clippers;105;32;19;19596;Regular
3;2011-12 season:;2011.12.25;LA Lakers;LA Lakers;87;Chicago;88;20;21;18997;Regular
4;2011-12 season:;2011.12.25;Dallas;Dallas;94;Miami;105;29;28;20421;Regular
5;2011-12 season:;2011.12.25;Oklahoma City;Oklahoma City;97;Orlando;89;22;25;18203;Regular
6;2011-12 season:;2011.12.26;Dallas;Dallas;93;Denver;115;28;18;20408;Regular
7;2011-12 season:;2011.12.26;Charlotte;Charlotte;96;Milwaukee;95;20;20;17173;Regular
8;2011-12 season:;2011.12.26;Washington;Washington;84;New Jersey;90;17;26;17102;Regular
9;2011-12 season:;2011.12.26;Phoenix;Phoenix;84;NO Hornets;85;24;22;17776;Regular
10;2011-12 season:;2011.12.26;Cleveland;Cleveland;96;Toronto;104;16;22;20562;Regular
11;2011-12 season:;2011.12.26;Indiana;Indiana;91;Detroit;79;20;19;18165;Regular
12;2011-12 season:;2011.12.26;Sacramento;Sacramento;100;LA Lakers;91;19;25;17317;Regular
13;2011-12 season:;2011.12.26;San Antonio;San Antonio;95;Memphis;82;20;25;18581;Regular
14;2011-12 season:;2011.12.26;Minnesota;Minnesota;100;Oklahoma City;104;24;26;19406;Regular
15;2011-12 season:;2011.12.26;Golden State;Golden State;99;Chicago;91;19;21;19596;Regular
16;2011-12 season:;2011.12.26;Orlando;Orlando;104;Houston;95;15;17;18846;Regular
17;2011-12 season:;2011.12.26;Portland;Portland;107;Philadelphia;103;19;25;20509;Regular
18;2011-12 season:;2011.12.27;New Jersey;New Jersey;70;Atlanta;106;22;23;18711;Regular
19;2011-12 season:;2011.12.27;Miami;Miami;115;Boston;107;22;27;20166;Regular
20;2011-12 season:;2011.12.27;Portland;Portland;101;Sacramento;79;23;27;20350;Regular
21;2011-12 season:;2011.12.27;LA Lakers;LA Lakers;96;Utah;71;21;28;18997;Regular
22;2011-12 season:;2011.12.27;Milwaukee;Milwaukee;98;Minnesota;95;28;24;17352;Regular
23;2011-12 season:;2011.12.28;Toronto;Toronto;85;Indiana;90;25;16;19800;Regular
24;2011-12 season:;2011.12.28;San Antonio;San Antonio;115;LA Clippers;90;23;17;18581;Regular
25;2011-12 season:;2011.12.28;Memphis;Memphis;95;Oklahoma City;98;22;24;18119;Regular
26;2011-12 season:;2011.12.28;Detroit;Detroit;89;Cleveland;105;21;15;22076;Regular
27;2011-12 season:;2011.12.28;Charlotte;Charlotte;95;Miami;96;22;17;19614;Regular
28;2011-12 season:;2011.12.28;Denver;Denver;117;Utah;100;20;23;19155;Regular
29;2011-12 season:;2011.12.28;Atlanta;Atlanta;101;Washington;83;21;24;17750;Regular
