"","Season","Date","Location","HomeTeam","HomeScore","AwayTeam","AwayScore","AwayPenalty","HomePenalty","Weekday","HomeSeason","AwaySeason","Attendance","Attendancein1000s","RegularPlayoff","Homewin","ClosedDoors","RelativeCap"
"1","2011-12 season:",2011-10-06,"Toronto","Toronto",2,"Montreal",0,8,10,5,"2011-12 season: Toronto","2011-12 season: Montreal",19606,19.606,"R",1,0,1.04181943780222
"2","2011-12 season:",2011-10-06,"Boston","Boston",1,"Philadelphia",2,14,10,5,"2011-12 season: Boston","2011-12 season: Philadelphia",17565,17.565,"R",0,0,1
"3","2011-12 season:",2011-10-06,"Vancouver","Vancouver",3,"Pittsburgh",4,6,6,5,"2011-12 season: Vancouver","2011-12 season: Pittsburgh",18860,18.86,"R",0,0,0.997355896351137
"4","2011-12 season:",2011-10-07,"Helsinki","FALSE",0,"FALSE",0,NA,NA,6,"2011-12 season: FALSE","2011-12 season: FALSE",NA,NA,"R",NA,0,NA
"5","2011-12 season:",2011-10-07,"Dallas","Dallas",2,"Chicago",1,4,8,6,"2011-12 season: Dallas","2011-12 season: Chicago",15285,15.285,"R",1,0,0.824789553205267
"6","2011-12 season:",2011-10-07,"Stockholm","FALSE",0,"FALSE",0,NA,NA,6,"2011-12 season: FALSE","2011-12 season: FALSE",NA,NA,"R",NA,0,NA
"7","2011-12 season:",2011-10-07,"Columbus","Columbus",2,"Nashville",3,10,6,6,"2011-12 season: Columbus","2011-12 season: Nashville",18247,18.247,"R",0,0,1.00567680776014
"8","2011-12 season:",2011-10-07,"Detroit","Detroit",5,"Ottawa",3,10,6,6,"2011-12 season: Detroit","2011-12 season: Ottawa",20066,20.066,"R",1,0,1.02823469126313
"9","2011-12 season:",2011-10-07,"Carolina","Carolina",1,"Tampa Bay",5,10,12,6,"2011-12 season: Carolina","2011-12 season: Tampa Bay",18680,18.68,"R",0,0,1
"10","2011-12 season:",2011-10-08,"Berlin","FALSE",0,"FALSE",0,NA,NA,7,"2011-12 season: FALSE","2011-12 season: FALSE",NA,NA,"R",NA,0,NA
"11","2011-12 season:",2011-10-08,"Washington","Washington",4,"Carolina",3,10,8,7,"2011-12 season: Washington","2011-12 season: Carolina",18506,18.506,"R",1,0,1
"12","2011-12 season:",2011-10-08,"Minnesota","Minnesota",4,"Columbus",2,8,12,7,"2011-12 season: Minnesota","2011-12 season: Columbus",19040,19.04,"R",1,0,1.06048791355687
"13","2011-12 season:",2011-10-08,"Chicago","Chicago",5,"Dallas",2,29,25,7,"2011-12 season: Chicago","2011-12 season: Dallas",18007,18.007,"R",1,0,0.913272810265253
"14","2011-12 season:",2011-10-08,"Colorado","Colorado",0,"Detroit",3,6,8,7,"2011-12 season: Colorado","2011-12 season: Detroit",18007,18.007,"R",0,0,1.01111797405806
"15","2011-12 season:",2011-10-08,"NY Islanders","NY Islanders",0,"Florida",2,23,17,7,"2011-12 season: NY Islanders","2011-12 season: Florida",16234,16.234,"R",0,0,0.948635540232572
"16","2011-12 season:",2011-10-08,"Stockholm","FALSE",0,"FALSE",0,NA,NA,7,"2011-12 season: FALSE","2011-12 season: FALSE",NA,NA,"R",NA,0,NA
"17","2011-12 season:",2011-10-08,"St Louis","St Louis",2,"Nashville",4,15,13,7,"2011-12 season: St Louis","2011-12 season: Nashville",19150,19.15,"R",0,0,1.05824491600354
"18","2011-12 season:",2011-10-08,"Toronto","Toronto",6,"Ottawa",5,40,28,7,"2011-12 season: Toronto","2011-12 season: Ottawa",19324,19.324,"R",1,0,1.02683458207131
"19","2011-12 season:",2011-10-08,"New Jersey","New Jersey",0,"Philadelphia",3,15,41,7,"2011-12 season: New Jersey","2011-12 season: Philadelphia",17625,17.625,"R",0,0,1.06727625045416
"20","2011-12 season:",2011-10-08,"San Jose","San Jose",6,"Arizona",3,14,16,7,"2011-12 season: San Jose","2011-12 season: Arizona",17562,17.562,"R",1,0,1
"21","2011-12 season:",2011-10-08,"Calgary","Calgary",3,"Pittsburgh",5,14,18,7,"2011-12 season: Calgary","2011-12 season: Pittsburgh",19289,19.289,"R",0,0,1
"22","2011-12 season:",2011-10-08,"Boston","Boston",4,"Tampa Bay",1,16,16,7,"2011-12 season: Boston","2011-12 season: Tampa Bay",17565,17.565,"R",1,0,1
"23","2011-12 season:",2011-10-09,"Winnipeg","Winnipeg",1,"Montreal",5,16,10,1,"2011-12 season: Winnipeg","2011-12 season: Montreal",15004,15.004,"R",0,0,0.979309444553228
